id,animal_category,disease,sym_part,symptom,url
18,犬,天疱瘡（てんぽうそう） <犬>,皮膚の症状,['発疹がある' '毛が抜ける' '痒がる'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/976?breed=01999
19,犬,天疱瘡（てんぽうそう） <犬>,耳の症状,['耳の毛が抜けている' '耳を痒がる'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/976?breed=01999
20,犬,アレルギー性皮膚炎 <犬>,皮膚の症状,['発疹がある' '痒がる' '臭う' '白いかさぶたみたいなものがある' '赤い'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/886?breed=01999
21,犬,日光過敏症 <犬>,皮膚の症状,['発疹がある' '毛が抜ける' '痒がる' '臭う'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/887?breed=01999
22,犬,日光過敏症 <犬>,耳の症状,['耳を痒がる'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/887?breed=01999
23,犬,疥癬<犬>,皮膚の症状,['発疹がある' '毛が抜ける' '痒がる' '赤い'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/888?breed=01999
24,犬,皮膚病だけとは限らない？犬に脱毛があるとき,皮膚の症状,['毛が抜ける' '赤い' '脱毛'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1509?breed=01999
25,犬,火傷（ヤケド） <犬>,皮膚の症状,['毛が抜ける' '痒がる'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/953?breed=01999
26,犬,火傷（ヤケド） <犬>,その他の症状,['熱っぽい' '食欲がない'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/953?breed=01999
27,犬,ケンカ傷 <犬>,皮膚の症状,['毛が抜ける' '痒がる' '血が出ている'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/956?breed=01999
28,犬,ケンカ傷 <犬>,その他の症状,['熱っぽい'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/956?breed=01999
29,犬,膿皮症 <犬>,皮膚の症状,['毛が抜ける' '痒がる' '臭う' '白いかさぶたみたいなものがある' '赤い'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/890?breed=01999
30,犬,アロペシアＸ <犬>,皮膚の症状,['毛が抜ける'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/975?breed=01999
31,犬,脂漏症 <犬>,皮膚の症状,['毛が抜ける' '痒がる' '臭う' '白いかさぶたみたいなものがある'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/893?breed=01999
32,犬,甲状腺腫瘍（こうじょうせんしゅよう） <犬>,皮膚の症状,['毛が抜ける'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1015?breed=01999
33,犬,甲状腺腫瘍（こうじょうせんしゅよう） <犬>,尿の異常,['尿の量が多い'],https://www.anicom-sompo.co.jp/doubutsu_pedia/node/1015?breed=01999
